Controls
Key	Action
UP / DOWN arrow	Change selected character
W	Walk Forward
S	Walk Backwards
A	Turn Left
D	Turn Right
1 key (non keypad)	Perform character action
Space 	Jump
SHIFT + W	Run Forward
SHIFT + S	Run Backwards
ALT + A	Strafe Left
ALT + S	Strafe Right
Jumping while walking or running will cause a distance jump
CTRL + F	Toggle follow selected entity
I	Move camera forward
K	Move camera backward
J	Move camera left
L	Move camera right
Q	Move camera up
E	Move camera down 
CTRL + Q	Roll camera to the left
CTRL + E	Roll camera to the right
Clicking the left mouse will increase camera move speed
